SEI,Modalidade,Criação,ETP,CLIC,Situação,Objeto,Demandante,Conclusão
061603/2020-61,Pregão,08/11/2020,26/02/2021,26/02/2021,Homologado,Material,CLIC,01/10/21
062661/2020-11,Pregão,12/11/2020,23/12/2020,27/01/2021,Revogado,Serviço,PROGRAD,04/03/21
063597/2020-87,Pregão,17/11/2020,27/11/2020,29/01/2021,Homologado,Material,ALMOX,17/05/21
064118/2020-40,Pregão,19/11/2020,04/12/2020,26/01/2021,Fracassado,Serviço,PROEC,20/05/21
0641182020-40,Pregão,19/11/2020,04/12/2020,13/07/2021,Deserto,Serviço,PROEC,30/07/21
066474/2020-06,Pregão,02/12/2020,29/12/2020,04/01/2020,Homologado,Material,CLIC,03/05/21
069441/2020-18,RDC,19/12/2020,19/08/2021,19/08/2021,Homologado,Obra,SUINFRA,08/12/21
070077/2020-21,Pregão,30/12/2020,27/01/2021,29/01/2021,Fracassado,Serviço,CLIC,13/05/21
000965/2021-67,Pregão,09/01/2021,26/02/2021,12/03/2021,Homologado,Material,AG,21/06/21
001216/2021-57,Pregão,12/01/2021,10/02/2021,11/02/2021,Homologado,Serviço,CLIC,21/06/21
001242/2021-85,Pregão,12/01/2021,25/06/2021,28/06/2021,Homologado,Material,CLIC,24/09/21
001259/2021-32,Pregão,12/01/2021,26/07/2021,27/07/2021,Homologado,Material,CLIC,23/11/21
001244/2021-74,Pregão,12/01/2021,29/11/2021,29/11/2021,Homologado,Material,CLIC,03/05/22
001260/2021-67,Pregão,12/01/2021,02/02/2022,02/02/2022,Homologado,Material,CLIC,28/04/22
001247/2021-16,Pregão,12/01/2021,14/07/2022,15/07/2022,Homologado,Material,CLIC,30/11/22
001710/2021-11,Pregão,15/01/2021,27/01/2021,11/02/2021,Homologado,Material,ALMOX,21/06/21
001236/2021-28,Pregão,21/01/2021,24/03/2021,25/03/2021,Homologado,Material,CLIC,24/06/21
003526/2021-14,Pregão,28/01/2021,04/03/2021,18/03/2021,Homologado,Material,SD,16/06/21
003862/2021-59,Pregão,29/01/2021,10/12/2021,14/12/2021,Homologado,Material,CLIC,29/04/22
003865/2021-92,Pregão,29/01/2021,18/01/2022,27/01/2022,Homologado,Material,CLIC,02/05/22
005192/2021-13,Pregão,05/02/2021,17/03/2021,29/03/2021,Homologado,Serviço,SUINFRA,11/06/21
005189/2021-91,Pregão,05/02/2021,24/05/2021,07/06/2021,Homologado,Material,SUINFRA,11/08/21
005196/2021-93,Pregão,05/02/2021,28/09/2021,03/09/2021,Homologado,Material,SUINFRA,02/02/22
005973/2021-08,Pregão,10/02/2021,03/03/2021,04/03/2021,Homologado,Material,ALMOX,21/06/21
006244/2021-61,Pregão,11/02/2021,09/03/2021,10/03/2021,Homologado,Material,ALMOX,20/07/21
008151/2021-71,Pregão,23/02/2021,16/03/2021,17/03/2021,Homologado,Serviço,CLIC,02/06/21
