SEI,Modalidade,Criação,ETP,CLIC,Situação,Objeto,Demandante,Conclusão
070927/2023-33,Pregão,08/11/2023,21/08/2024,21/08/2024,Homologado,Material,SUINFRA,29/04/25
071246/2023-92,Pregão,09/11/2023,29/12/2023,29/12/2023,Homologado,Material,USUP/ALMOX,22/04/24
072826/2023-05,Pregão,17/11/2023,18/12/2023,18/12/2023,Homologado,Serviço,PROGRAD,06/03/24
073274/2023-44,Pregão,20/11/2023,02/04/2024,03/04/2024,Homologado,Serviço,AGTIC,21/06/24
073398/2023-20,Pregão,21/11/2023,28/11/2023,28/11/2023,Homologado,Serviço,CLIC,08/03/24
075005/2023-12,Pregão,28/11/2023,19/12/2023,19/12/2023,Homologado,Serviço,SUCOM,24/04/24
075769/2023-16,Pregão,01/12/2023,29/04/2024,26/04/2024,Homologado,Material,SETOR DE AGRÁRIAS,05/08/24
077076/2023-50,Pregão,07/12/2023,06/09/2024,10/09/2024,Homologado,Material,SUINFRA,02/06/25
077682/2023-75,Pregão,12/12/2023,17/01/2024,17/01/2024,Homologado,Serviço,SETOR DE BIOLÓGICAS,22/03/24
078856/2023-17,Pregão,19/12/2023,07/05/2024,07/05/2024,Homologado,Material,CENTRAN,08/08/24
000010/2024-52,Pregão,01/01/2024,09/07/2024,24/05/2024,Homologado,Material,UPCL,27/09/24
000011/2024-05,Pregão,01/01/2024,27/05/2024,24/05/2024,Homologado,Material,UPCL,12/11/24
000278/2024-94,Pregão,04/01/2024,05/03/2024,05/03/2024,Homologado,Serviço,UPCL,24/06/24
000279/2024-39,Pregão,04/01/2024,11/03/2024,08/03/2024,Homologado,Serviço,UPCL,24/06/24
000281/2024-16,Pregão,04/01/2024,28/03/2024,28/03/2024,Homologado,Material,UPCL,16/07/24
000957/2024-63,Pregão,11/01/2024,02/02/2024,01/02/2024,Homologado,Material,USUP/ALMOX,09/05/24
003515/2024-79,Pregão,30/01/2024,28/03/2024,28/03/2024,Homologado,Serviço,PRA,12/07/24
005309/2024-01,Pregão,07/02/2024,17/09/2024,17/09/2024,Homologado,Material,UPCL,11/12/24
006396/2024-14,Pregão,15/02/2024,15/08/2024,08/08/2024,Homologado,Material,SUINFRA,07/04/25
006404/2024-14,Pregão,15/02/2024,06/09/2024,09/09/2024,Homologado,Material,SUINFRA,17/03/25
007318/2024-29,Pregão,20/02/2024,09/07/2024,03/07/2024,Homologado,Material,SETOR DE CIÊNCIAS DA TERRA,05/09/24
007517/2024-37,Pregão,21/02/2024,26/06/2024,25/06/2024,Homologado,Material,UPCL,12/11/24
007526/2024-28,Pregão,21/02/2024,27/06/2024,27/06/2024,Homologado,Material,UPCL,19/09/24
009898/2024-99,Pregão,29/02/2024,04/04/2024,04/04/2024,Homologado,Material,SUINFRA,07/10/24
010993/2024-35,Pregão,04/03/2024,05/07/2024,05/07/2024,Revogado,Serviço,SUINFRA,20/08/24
012674/2024-64,Pregão,07/03/2024,29/04/2024,29/04/2024,Homologado,Material,UPCL,04/07/24
012681/2024-66,Pregão,07/03/2024,13/06/2024,12/06/2024,Homologado,Material,UPCL,12/11/24
012692/2024-46,Pregão,07/03/2024,01/08/2024,31/07/2024,Homologado,Material,UPCL,11/12/24
014465/2024-55,Pregão,13/03/2024,27/03/2024,26/03/2024,Homologado,Material,USUP/ALMOX,07/08/24
015822/2024-01,Pregão,18/03/2024,21/05/2024,23/05/2024,Homologado,Material,SUCOM,30/09/24
018001/2024-18,Pregão,26/03/2024,12/06/2024,13/06/2024,Revogado,Serviço,AGTIC,26/08/24
019647/2024-12,Pregão,04/04/2024,08/05/2024,13/05/2024,Homologado,Serviço,AGTIC,15/07/24
019670/2024-15,Pregão,04/04/2024,28/06/2024,28/06/2024,Homologado,Serviço,UPCL,11/12/24
020193/2024-22,Pregão,08/04/2024,17/09/2024,17/09/2024,Homologado,Material,UPCL,14/01/25
020194/2024-77,Pregão,08/04/2024,18/10/2024,17/10/2024,Homologado,Material,UPCL,02/02/25
020357/2024-11,Pregão,08/04/2024,26/11/2024,16/11/2024,Fracassado,Serviço,SETOR DE BIOLÓGICAS,06/02/25
020554/2024-31,Pregão,09/04/2024,08/05/2024,07/05/2024,Homologado,Material,USUP/ALMOX,09/08/24
020857/2024-53,Pregão,10/04/2024,31/07/2024,31/07/2024,Homologado,Material,HOSPITAL VETERINÁRIO DE CURITIBA,29/10/24
020978/2024-03,Pregão,10/04/2024,01/08/2024,01/08/2024,Revogado,Serviço,RU,11/11/24
020855/2024-64,Pregão,10/04/2024,28/08/2024,29/08/2024,Homologado,Material,HOSPITAL VETERINÁRIO DE CURITIBA,05/12/24
021119/2024-23,Pregão,11/04/2024,21/08/2024,21/08/2024,Homologado,Material,HOSPITAL VETERINÁRIO DE CURITIBA,06/12/24
021597/2024-33,Pregão,12/04/2024,30/09/2024,30/09/2024,Homologado,Material,BIBLIOTECA CENTRAL,06/12/24
022618/2024-38,Concorrência,18/04/2024,21/08/2024,20/08/2024,Homologado,Obra,SUINFRA,28/11/24
024334/2024-86,Pregão,29/04/2024,05/06/2024,05/06/2024,Homologado,Serviço,UPCL,12/08/24
024332/2024-97,Pregão,29/04/2024,01/10/2024,30/09/2024,Homologado,Material,UPCL,26/03/25
024333/2024-31,Pregão,29/04/2024,22/11/2024,22/11/2024,Homologado,Material,UPCL,26/03/25
024558/2024-98,Pregão,30/04/2024,28/05/2024,28/05/2024,Homologado,Material,USUP/ALMOX,17/10/24
024703/2024-31,Concorrência,01/05/2024,07/11/2024,07/11/2024,Suspenso,Obra,SUINFRA,18/12/24
024860/2024-46,Pregão,02/05/2024,03/10/2024,09/10/2024,Homologado,Serviço,ATENÇÃO À SAÚDE,29/11/24
026239/2024-17,Pregão,10/05/2024,21/08/2024,22/08/2024,Homologado,Material,SETOR DE AGRÁRIAS,09/12/24
026400/2024-52,Pregão,10/05/2024,31/08/2024,02/09/2024,Homologado,Material,SETOR DE AGRÁRIAS,31/10/24
026725/2024-35,Pregão,14/05/2024,14/06/2024,14/06/2024,Homologado,Material,HOSPITAL VETERINÁRIO DE PALOTINA,12/08/24
030958/2024-32,Pregão,10/06/2024,16/08/2024,07/08/2024,Homologado,Serviço,SPIN,18/10/24
032061/2024-43,Pregão,17/06/2024,05/08/2024,06/08/2024,Homologado,Material,SETOR DE BIOLÓGICAS,17/10/24
032804/2024-85,Pregão,20/06/2024,26/08/2024,23/08/2024,Homologado,Serviço,CAAST,04/12/24
036124/2024-31,Pregão,05/07/2024,14/08/2024,14/08/2024,Homologado,Material,UPCL,27/11/24
040597/2024-32,Pregão,26/07/2024,22/10/2024,23/10/2024,Homologado,Material,SETOR DE BIOLÓGICAS,14/01/25
040571/2024-94,Pregão,26/07/2024,24/10/2024,29/10/2024,Homologado,Material,SETOR DE BIOLÓGICAS,28/01/25
042005/2024-17,Pregão,02/08/2024,24/09/2024,24/09/2024,Homologado,Serviço,RU,27/12/24
020198/2024-55,Pregão,04/08/2024,10/09/2024,10/09/2024,Homologado,Material,UPCL,14/01/25
042373/2024-65,Pregão,05/08/2024,19/09/2024,20/09/2024,Homologado,Material,UPCL,02/01/25
042947/2024-03,Pregão,07/08/2024,19/09/2024,17/09/2024,Homologado,Serviço,AGTIC,31/10/24
045377/2024-03,Pregão,19/08/2024,23/09/2024,23/09/2024,Homologado,Material,UPCL,26/03/25
045382/2024-16,Pregão,19/08/2024,27/11/2024,27/11/2024,Homologado,Serviço,UPCL,19/03/25
047739/2024-92,Pregão,28/08/2024,20/12/2024,17/10/2024,Homologado,Material,USUP/ALMOX,14/04/25
049119/2024-98,Pregão,03/09/2024,30/10/2024,01/11/2024,Homologado,Material,SETOR DE SAÚDE,19/03/25
052678/2024-85,Pregão,15/09/2024,14/10/2024,11/10/2024,Homologado,Material,UPCL,23/01/25
055629/2024-02,Concorrência,25/09/2024,11/10/2024,11/10/2024,Homologado,Obra,SUINFRA,14/12/24
056848/2024-09,Pregão,30/09/2024,30/10/2024,29/10/2024,Homologado,Material,USUP/ALMOX,02/02/25
060831/2024-48,Pregão,15/10/2024,13/11/2024,13/11/2024,Homologado,Material,UPCL,17/03/25
041394/2019-04,Pregão,17/06/2019,03/04/2020,06/04/2020,Homologado,Serviço,SUINFRA,07/07/20
